timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,Latency,IdleTime,Connect
1779163761666,635,01 - GET Pagina de Login,200,OK,Usuarios - Carga 1-1,text,true,,35825,194,1,1,629,0,60
1779163763563,590,01 - GET Pagina de Login,200,OK,Usuarios - Carga 1-2,text,true,,35836,194,2,2,585,0,2
1779163762817,1759,02 - POST Login,200,OK,Usuarios - Carga 1-1,text,true,,149633,2129,2,2,939,0,0
1779163762817,942,02 - POST Login-0,302,Found,Usuarios - Carga 1-1,text,true,,1731,1133,2,2,939,0,0
1779163763762,814,02 - POST Login-1,200,OK,Usuarios - Carga 1-1,text,true,,147902,996,2,2,811,0,0
1779163765093,712,03 - GET Dashboard,200,OK,Usuarios - Carga 1-1,text,true,,128929,958,3,3,709,0,0
1779163765570,661,01 - GET Pagina de Login,200,OK,Usuarios - Carga 1-3,text,true,,35834,194,3,3,658,0,2
1779163764668,1772,02 - POST Login,200,OK,Usuarios - Carga 1-2,text,true,,149627,2129,3,3,951,0,0
1779163764668,955,02 - POST Login-0,302,Found,Usuarios - Carga 1-2,text,true,,1731,1133,3,3,951,0,0
1779163765624,816,02 - POST Login-1,200,OK,Usuarios - Carga 1-2,text,true,,147896,996,3,3,812,0,0
1779163766313,589,04 - GET Inventario de Activos,200,OK,Usuarios - Carga 1-1,text,true,,110723,956,3,3,585,0,0
1779163766960,580,03 - GET Dashboard,200,OK,Usuarios - Carga 1-2,text,true,,128912,958,4,4,578,0,0
1779163767416,456,05 - GET Catalogo de Amenazas,500,Internal Server Error,Usuarios - Carga 1-1,text,false,"Test failed: code expected to equal /

****** received  : [[[5]]]00

****** comparison: [[[2]]]00

/",13483,957,4,4,452,0,0
1779163767559,540,01 - GET Pagina de Login,200,OK,Usuarios - Carga 1-4,text,true,,35834,194,4,4,537,0,2
1779163766739,1603,02 - POST Login,200,OK,Usuarios - Carga 1-3,text,true,,149628,2129,4,4,905,0,0
1779163766739,909,02 - POST Login-0,302,Found,Usuarios - Carga 1-3,text,true,,1731,1133,4,4,905,0,0
1779163767649,693,02 - POST Login-1,200,OK,Usuarios - Carga 1-3,text,true,,147897,996,4,4,691,0,0
1779163768050,532,04 - GET Inventario de Activos,200,OK,Usuarios - Carga 1-2,text,true,,110706,956,4,4,530,0,0
1779163768381,360,06 - GET Evaluaciones de Riesgo,500,Internal Server Error,Usuarios - Carga 1-1,text,false,"Test failed: code expected to equal /

****** received  : [[[5]]]00

****** comparison: [[[2]]]00

/",13483,961,4,4,357,0,1
1779163768844,548,03 - GET Dashboard,200,OK,Usuarios - Carga 1-3,text,true,,128937,958,5,5,545,0,0
1779163769085,527,05 - GET Catalogo de Amenazas,200,OK,Usuarios - Carga 1-2,text,true,,105344,957,5,5,523,0,0
1779163769243,413,07 - GET Matriz de Riesgos,500,Internal Server Error,Usuarios - Carga 1-1,text,false,"Test failed: code expected to equal /

****** received  : [[[5]]]00

****** comparison: [[[2]]]00

/",13483,955,5,5,409,0,1
1779163769565,549,01 - GET Pagina de Login,200,OK,Usuarios - Carga 1-5,text,true,,35833,194,5,5,545,0,1
1779163768617,1556,02 - POST Login,200,OK,Usuarios - Carga 1-4,text,true,,149587,2129,5,5,860,0,0
1779163768617,864,02 - POST Login-0,302,Found,Usuarios - Carga 1-4,text,true,,1731,1133,5,5,860,0,0
1779163769482,691,02 - POST Login-1,200,OK,Usuarios - Carga 1-4,text,true,,147856,996,5,5,687,0,0
1779163769897,547,04 - GET Inventario de Activos,200,OK,Usuarios - Carga 1-3,text,true,,110706,956,5,5,544,0,0
1779163770118,532,06 - GET Evaluaciones de Riesgo,200,OK,Usuarios - Carga 1-2,text,true,,112531,961,5,5,527,0,0
1779163770167,531,08 - GET Planes de Mitigacion,200,OK,Usuarios - Carga 1-1,text,true,,115077,959,5,5,527,0,1
1779163770689,621,03 - GET Dashboard,200,OK,Usuarios - Carga 1-4,text,true,,128945,958,5,5,617,0,0
1779163770956,638,05 - GET Catalogo de Amenazas,200,OK,Usuarios - Carga 1-3,text,true,,105325,957,5,5,635,0,0
1779163771160,573,07 - GET Matriz de Riesgos,200,OK,Usuarios - Carga 1-2,text,true,,108705,955,5,5,571,0,0
1779163771206,583,09 - GET Bitacora de Auditoria,200,OK,Usuarios - Carga 1-1,text,true,,107411,957,5,5,577,0,0
1779163770625,1701,02 - POST Login,200,OK,Usuarios - Carga 1-5,text,true,,149614,2129,5,5,933,0,0
